ano;qtde_ocorrencias;crime;regiao;estado
2007;0;Latrocinio;sul;rio grande do sul
2007;29;Latrocinio;sul;santa catarina
2007;12;Latrocinio;nordeste;sergipe
2007;218;Latrocinio;sudeste;sao paulo
2007;12;Latrocinio;norte;tocantins
2008;1;Latrocinio;norte;acre
2008;41;Latrocinio;nordeste;alagoas
2008;26;Latrocinio;norte;amazonas
2008;22;Latrocinio;norte;amapa
2008;115;Latrocinio;nordeste;bahia
2008;89;Latrocinio;nordeste;ceara
2008;60;Latrocinio;centro-oeste;distrito federal
2008;20;Latrocinio;sudeste;espirito santo
2008;51;Latrocinio;centro-oeste;goias
2008;64;Latrocinio;nordeste;maranhao
2008;63;Latrocinio;sudeste;minas gerais
2008;29;Latrocinio;centro-oeste;mato grosso do sul
2008;56;Latrocinio;centro-oeste;mato grosso
2008;207;Latrocinio;norte;para
2008;38;Latrocinio;nordeste;paraiba
2008;127;Latrocinio;nordeste;pernambuco
2008;3;Latrocinio;nordeste;piaui
2008;50;Latrocinio;sul;parana
2008;185;Latrocinio;sudeste;rio de janeiro
2008;22;Latrocinio;nordeste;rio grande do norte
2008;17;Latrocinio;norte;rondonia
2008;0;Latrocinio;norte;roraima
2008;100;Latrocinio;sul;rio grande do sul
2008;30;Latrocinio;sul;santa catarina
2008;15;Latrocinio;nordeste;sergipe
2008;266;Latrocinio;sudeste;sao paulo
2008;7;Latrocinio;norte;tocantins
2009;12;Latrocinio;norte;acre
2009;30;Latrocinio;nordeste;alagoas
2009;28;Latrocinio;norte;amazonas
2009;1;Latrocinio;norte;amapa
2009;133;Latrocinio;nordeste;bahia
2009;84;Latrocinio;nordeste;ceara
2009;52;Latrocinio;centro-oeste;distrito federal
2009;13;Latrocinio;sudeste;espirito santo
2009;60;Latrocinio;centro-oeste;goias
2009;63;Latrocinio;nordeste;maranhao
2009;0;Latrocinio;sudeste;minas gerais
2009;8;Latrocinio;centro-oeste;mato grosso do sul
2009;55;Latrocinio;centro-oeste;mato grosso
2009;158;Latrocinio;norte;para
2009;27;Latrocinio;nordeste;paraiba
2009;112;Latrocinio;nordeste;pernambuco
2009;6;Latrocinio;nordeste;piaui
2009;45;Latrocinio;sul;parana
2009;197;Latrocinio;sudeste;rio de janeiro
2009;19;Latrocinio;nordeste;rio grande do norte
2009;15;Latrocinio;norte;rondonia
2009;2;Latrocinio;norte;roraima
2009;65;Latrocinio;sul;rio grande do sul
